state_clean,district,youth_pct,priority
maharashtra,Thane,31.19620948544223,0.8166035433483797
maharashtra,Pune,20.577401378962946,0.7019819757842056
bihar,Sitamarhi,44.64860769085054,0.585997970650562
west bengal,South 24 Parganas,24.439475253428743,0.5833504761337778
uttar pradesh,Bahraich,56.84071381361533,0.5750339479352286
bihar,East Champaran,62.65047914606282,0.5724909236111251
rajasthan,Jaipur,28.81910999807359,0.5621916375630883
west bengal,Murshidabad,12.205173902146974,0.5568667055069646
bihar,Gaya,73.88051530966024,0.5526310498363707
bihar,West Champaran,59.3665812471253,0.5517058773856797
bihar,Patna,69.59503327381918,0.5494330482139351
maharashtra,Nashik,25.938841201716738,0.5444644888405159
karnataka,Bengaluru,21.73014848289219,0.5365048093446516
uttar pradesh,Sitapur,44.95041161599793,0.5225380228824531
gujarat,Surat,25.12466135301739,0.5197243886755207
bihar,Muzaffarpur,48.87541154046093,0.5147347931640233
uttar pradesh,Agra,42.430625208960215,0.5019793281401839
uttar pradesh,Bareilly,36.018122325698464,0.49847175962094104
bihar,Madhubani,48.33783262630158,0.48844652865861454
bihar,Saran,67.74713023371046,0.4883636559481015
west bengal,North 24 Parganas,20.069216248339508,0.48316358761205885
gujarat,Ahmedabad,29.686356508102456,0.4811370485706804
uttar pradesh,Lucknow,44.371717488437724,0.48077395196348865
uttar pradesh,Kheri,52.245910977296774,0.47214272119989326
uttar pradesh,Aligarh,44.9602932193036,0.47147933601567094
uttar pradesh,Ghaziabad,46.350238404854785,0.47130716261092553
uttar pradesh,Varanasi,57.44407302648496,0.4620920590274826
uttar pradesh,Kanpur Nagar,51.01991257892181,0.4614703811000777
uttar pradesh,Azamgarh,65.99426432703058,0.458502056226654
uttar pradesh,Hardoi,48.783392212122415,0.45587165671084257
west bengal,Uttar Dinajpur,30.220883534136544,0.4421256228623655
uttar pradesh,Gorakhpur,60.54384295658271,0.44119740102145
telangana,Hyderabad,21.546748749519047,0.4343283885414261
delhi,North West Delhi,20.526086143489373,0.42764366963372424
uttar pradesh,Shahjahanpur,45.420114445679474,0.42599670237360443
uttar pradesh,Meerut,39.946726599242524,0.4244614249509223
uttar pradesh,Jaunpur,64.5745284804138,0.4185247376408974
bihar,Samastipur,40.542510543031185,0.4117726217599232
bihar,Nalanda,73.84562607204117,0.40857283793655913
bihar,Bhagalpur,48.56613806855949,0.40843769085275106
rajasthan,Alwar,31.279134413890436,0.40402388542336065
bihar,Vaishali,53.85683345365692,0.4039955882776925
bihar,Purnia,38.41293532338309,0.3966283742992963
bihar,Bhojpur,75.72808265329041,0.3919979700987039
madhya pradesh,Indore,22.458862036497333,0.39147402530201436
bihar,Nawada,80.32180626743659,0.3914418144743262
rajasthan,Jodhpur,30.267837047040285,0.3885453592823784
uttar pradesh,Allahabad,44.87885878179485,0.3871227177458645
uttar pradesh,Bulandshahr,44.54249333728161,0.38447381436472716
uttar pradesh,Maharajganj,63.035084774215214,0.3834903481924902
